一级分类,品名,最低价,最高价,平均价,产地,单位,发布日期
肉禽蛋,白条猪,11.5,11.5,11.5,,斤,2022-12-30
肉禽蛋,白条猪,10.0,10.0,10.0,,斤,2022-12-30
肉禽蛋,前臀尖,10.5,11.5,11.0,,斤,2022-12-30
肉禽蛋,前臀尖,9.5,10.5,10.0,,斤,2022-12-30
肉禽蛋,后臀尖,10.5,11.5,11.0,,斤,2022-12-30
肉禽蛋,后臀尖,9.5,10.5,10.0,,斤,2022-12-30
肉禽蛋,五花肉,14.0,15.0,14.5,,斤,2022-12-30
肉禽蛋,五花肉,12.0,14.0,13.0,,斤,2022-12-30
肉禽蛋,五花头,11.0,12.0,11.5,,斤,2022-12-30
肉禽蛋,纯通脊,13.5,14.5,14.0,,斤,2022-12-30
肉禽蛋,通脊,11.0,12.0,11.5,,斤,2022-12-30
肉禽蛋,肥膘肉,5.0,6.0,5.5,,斤,2022-12-30
肉禽蛋,猪腰子,13.0,13.0,13.0,,斤,2022-12-30
肉禽蛋,猪心,9.0,9.0,9.0,,斤,2022-12-30
肉禽蛋,猪肝,6.0,6.0,6.0,,斤,2022-12-30
肉禽蛋,猪肺,3.0,3.0,3.0,,个,2022-12-30
肉禽蛋,猪皮,3.0,5.0,4.0,,斤,2022-12-30
肉禽蛋,猪肠头,20.0,20.0,20.0,,斤,2022-12-30
肉禽蛋,猪肠,18.0,19.0,18.5,,斤,2022-12-30
肉禽蛋,整牛,33.0,33.0,33.0,,斤,2022-12-30
肉禽蛋,牛前腱,38.0,40.0,39.0,,斤,2022-12-30
肉禽蛋,牛后腱,38.0,39.0,38.5,,斤,2022-12-30
肉禽蛋,牛前腿,33.0,34.0,33.5,,斤,2022-12-30
肉禽蛋,牛后腿,33.0,34.0,33.5,,斤,2022-12-30
肉禽蛋,牛腰窝,35.0,36.0,35.5,,斤,2022-12-30
肉禽蛋,肥牛,30.0,35.0,32.5,,斤,2022-12-30
肉禽蛋,牛柳,36.0,37.0,36.5,,斤,2022-12-30
肉禽蛋,精牛柳,38.0,39.0,38.5,,斤,2022-12-30
肉禽蛋,牛腩,33.5,34.5,34.0,,斤,2022-12-30
肉禽蛋,牛林,33.0,33.5,33.25,,斤,2022-12-30
肉禽蛋,牛金钱腱,60.0,60.0,60.0,,斤,2022-12-30
肉禽蛋,仔鸡,8.0,8.3,8.15,,斤,2022-12-30
肉禽蛋,肉鸡,7.0,7.0,7.0,,斤,2022-12-30
肉禽蛋,鸡胸,7.0,7.2,7.1,,斤,2022-12-30
肉禽蛋,鸡翅,12.0,12.0,12.0,,斤,2022-12-30
肉禽蛋,鸡翅尖,7.5,7.5,7.5,,斤,2022-12-30
肉禽蛋,鸡翅中,22.0,22.0,22.0,,斤,2022-12-30
肉禽蛋,鸡翅根,8.5,8.8,8.65,,斤,2022-12-30
肉禽蛋,鸡边腿,6.8,7.0,6.9,,斤,2022-12-30
肉禽蛋,鸡排腿,7.8,8.0,7.9,,斤,2022-12-30
肉禽蛋,鸡琵琶腿,8.8,8.8,8.8,,斤,2022-12-30
肉禽蛋,鸡胗,12.0,18.0,15.0,,斤,2022-12-30
肉禽蛋,鸡爪,21.0,22.0,21.5,,斤,2022-12-30
肉禽蛋,鸡心,5.8,6.2,6.0,,斤,2022-12-30
肉禽蛋,鸡肝,3.0,3.0,3.0,,斤,2022-12-30
肉禽蛋,鸡脖子,5.0,5.0,5.0,,斤,2022-12-30
肉禽蛋,鸡头,3.0,3.0,3.0,,斤,2022-12-30
肉禽蛋,鸡油,5.5,5.5,5.5,,斤,2022-12-30
肉禽蛋,鸡架子,3.5,4.0,3.75,,斤,2022-12-30
肉禽蛋,白条乌鸡,12.0,12.0,12.0,,斤,2022-12-30
肉禽蛋,黑爪公鸡,14.0,15.0,14.5,,斤,2022-12-30
肉禽蛋,白条鹅,13.0,13.0,13.0,,斤,2022-12-30
肉禽蛋,白条湖鸭,7.5,7.5,7.5,,斤,2022-12-30
肉禽蛋,鸭肠,8.5,8.5,8.5,,斤,2022-12-30
肉禽蛋,鸭肝,5.0,5.0,5.0,,斤,2022-12-30
肉禽蛋,鸭头,16.0,16.0,16.0,,斤,2022-12-30
肉禽蛋,鸭心,5.0,5.5,5.25,,斤,2022-12-30
肉禽蛋,鸭腿,6.0,6.0,6.0,,斤,2022-12-30
肉禽蛋,鸭胗,13.0,13.0,13.0,,斤,2022-12-30
肉禽蛋,鸭脖子,17.0,18.0,17.5,,斤,2022-12-30
肉禽蛋,白条乳鸽,18.0,19.0,18.5,,只,2022-12-30
肉禽蛋,箱鸡蛋,195.0,200.0,197.5,,箱,2022-12-30
肉禽蛋,箱鸡蛋,4.43,4.55,4.49,,斤,2022-12-30
肉禽蛋,散鸡蛋,4.8,5.0,4.9,,斤,2022-12-30
肉禽蛋,生鸭蛋,7.3,8.0,7.65,,斤,2022-12-30
肉禽蛋,熟鸭蛋,9.0,9.5,9.25,,斤,2022-12-30
肉禽蛋,松花蛋,7.3,10.5,8.9,,斤,2022-12-30
肉禽蛋,鹅蛋,18.0,20.0,19.0,,斤,2022-12-30
肉禽蛋,鹌鹑蛋,6.2,7.0,6.6,,斤,2022-12-30
肉禽蛋,柴鸡蛋,4.6,8.0,6.3,,斤,2022-12-30
肉禽蛋,乌鸡蛋,8.3,9.5,8.9,,斤,2022-12-30
肉禽蛋,羊肉片,30.0,35.0,32.5,,斤,2022-12-30
肉禽蛋,羊腰子,13.0,14.0,13.5,,个,2022-12-30
肉禽蛋,羊蝎子,16.0,17.0,16.5,,斤,2022-12-30
肉禽蛋,羊蝎子,25.0,26.0,25.5,,斤,2022-12-30
肉禽蛋,羊排骨,24.0,25.0,24.5,,斤,2022-12-30
肉禽蛋,羊尾巴油,8.0,8.0,8.0,,斤,2022-12-30
肉禽蛋,羊小腿,20.0,20.0,20.0,,斤,2022-12-30
肉禽蛋,羊腱子肉,35.0,35.0,35.0,,斤,2022-12-30
肉禽蛋,羊蹄,14.0,14.0,14.0,,斤,2022-12-30
肉禽蛋,羊头,13.0,13.0,13.0,,斤,2022-12-30
肉禽蛋,羊肝,7.0,7.0,7.0,,斤,2022-12-30
肉禽蛋,羊心,16.0,17.0,16.5,,斤,2022-12-30
肉禽蛋,羊肠,13.0,14.0,13.5,,斤,2022-12-30
肉禽蛋,羊肚,20.0,20.0,20.0,,斤,2022-12-30
肉禽蛋,羊上脑,31.0,32.0,31.5,,斤,2022-12-30
肉禽蛋,羊骨头,10.0,10.0,10.0,,斤,2022-12-30
肉禽蛋,羊腩,24.0,25.0,24.5,,斤,2022-12-30
肉禽蛋,羊里脊,31.0,31.0,31.0,,斤,2022-12-30
肉禽蛋,淘汰鸡,11.0,12.0,11.5,,斤,2022-12-30
肉禽蛋,淘汰鸡,10.0,10.5,10.25,,斤,2022-12-30
肉禽蛋,小里脊,16.0,16.0,16.0,,斤,2022-12-30
肉禽蛋,梅花肉,14.0,15.0,14.5,,斤,2022-12-30
肉禽蛋,纯瘦肉,11.5,12.5,12.0,,斤,2022-12-30
肉禽蛋,护心肉,15.0,15.0,15.0,,斤,2022-12-30
肉禽蛋,前肘,12.0,14.0,13.0,,斤,2022-12-30
肉禽蛋,后肘（带骨）,7.5,10.0,8.75,,斤,2022-12-30
肉禽蛋,后肘（去骨）,11.5,12.5,12.0,,斤,2022-12-30
肉禽蛋,猪尾巴,48.0,50.0,49.0,,斤,2022-12-30
肉禽蛋,猪蹄,23.0,23.0,23.0,,斤,2022-12-30
肉禽蛋,纯排骨,24.0,28.0,26.0,,斤,2022-12-30
肉禽蛋,纯腔骨,9.0,11.0,10.0,,斤,2022-12-30
肉禽蛋,腔排骨,15.0,17.0,16.0,,斤,2022-12-30
肉禽蛋,梅花骨,12.0,13.0,12.5,,斤,2022-12-30
肉禽蛋,棒骨,10.0,12.0,11.0,,斤,2022-12-30
肉禽蛋,猪头,10.5,11.0,10.75,,斤,2022-12-30
肉禽蛋,猪口条,18.0,18.0,18.0,,斤,2022-12-30
肉禽蛋,猪耳,28.0,29.0,28.5,,斤,2022-12-30
肉禽蛋,猪脑,20.0,23.0,21.5,,斤,2022-12-30
肉禽蛋,猪肚,26.0,26.0,26.0,,斤,2022-12-30
肉禽蛋,猪板油,7.5,8.0,7.75,,斤,2022-12-30
肉禽蛋,牛筋头巴脑,32.0,32.0,32.0,,斤,2022-12-30
肉禽蛋,牛宝,18.0,18.0,18.0,,斤,2022-12-30
肉禽蛋,牛鞭,60.0,60.0,60.0,,斤,2022-12-30
肉禽蛋,牛油,5.0,5.0,5.0,,斤,2022-12-30
肉禽蛋,牛心,10.0,10.0,10.0,,斤,2022-12-30
肉禽蛋,牛舌,43.0,45.0,44.0,,斤,2022-12-30
肉禽蛋,牛骨,4.0,4.0,4.0,,斤,2022-12-30
肉禽蛋,牛排骨,30.0,30.0,30.0,,斤,2022-12-30
肉禽蛋,牛蹄筋,27.0,28.0,27.5,,斤,2022-12-30
肉禽蛋,牛板筋,35.0,35.0,35.0,,斤,2022-12-30
肉禽蛋,牛心管,58.0,58.0,58.0,,斤,2022-12-30
肉禽蛋,牛肚,18.0,20.0,19.0,,斤,2022-12-30
肉禽蛋,牛腰子,10.0,10.0,10.0,,斤,2022-12-30
肉禽蛋,牛尾,35.0,35.0,35.0,,斤,2022-12-30
肉禽蛋,牛百叶,43.0,45.0,44.0,,斤,2022-12-30
肉禽蛋,牛上脑,34.0,34.0,34.0,,斤,2022-12-30
肉禽蛋,整羊,22.0,24.0,23.0,,斤,2022-12-30
肉禽蛋,去骨羊前腿,31.0,31.0,31.0,,斤,2022-12-30
肉禽蛋,去骨羊后腿,32.0,32.0,32.0,,斤,2022-12-30
肉禽蛋,羊腰窝,30.0,31.0,30.5,,斤,2022-12-30
水产,带鱼,13.0,14.0,13.5,吊,斤,2022-12-30
水产,带鱼,17.0,18.0,17.5,吊,斤,2022-12-30
水产,带鱼,19.0,20.0,19.5,吊,斤,2022-12-30
水产,黄花鱼,16.0,17.0,16.5,国产,斤,2022-12-30
水产,黄花鱼,17.0,18.0,17.5,国产,斤,2022-12-30
水产,黄花鱼,19.0,20.0,19.5,国产,斤,2022-12-30
水产,平鱼,9.0,10.0,9.5,国产,斤,2022-12-30
水产,平鱼,14.0,16.0,15.0,国产,斤,2022-12-30
水产,平鱼,25.0,26.0,25.5,国产,斤,2022-12-30
水产,平鱼,40.0,42.0,41.0,国产,斤,2022-12-30
水产,鱿鱼,15.0,15.5,15.25,,斤,2022-12-30
水产,鱿鱼,22.0,23.0,22.5,,斤,2022-12-30
水产,海鲈鱼,14.0,15.0,14.5,,斤,2022-12-30
水产,墨鱼,23.0,24.0,23.5,,斤,2022-12-30
水产,金鲳鱼,18.0,19.0,18.5,,斤,2022-12-30
水产,金鲳鱼,19.0,20.0,19.5,,斤,2022-12-30
水产,白虾,17.0,19.0,18.0,,斤,2022-12-30
水产,白虾（笼装）,35.0,36.0,35.5,,斤,2022-12-30
水产,白虾（笼装）,34.0,34.0,34.0,,斤,2022-12-30
水产,琵琶虾,40.0,45.0,42.5,,斤,2022-12-30
肉禽蛋,鸵鸟蛋,90.0,100.0,95.0,,个,2022-12-30
肉禽蛋,鸽子蛋,3.3,3.5,3.4,,个,2022-12-30
水产,鲤鱼,5.5,6.5,6.0,,斤,2022-12-30
水产,鲤鱼,5.5,6.5,6.0,,斤,2022-12-30
水产,草鱼,6.5,7.0,6.75,,斤,2022-12-30
水产,草鱼,7.0,7.5,7.25,,斤,2022-12-30
水产,草鱼,8.5,9.0,8.75,,斤,2022-12-30
水产,鲫鱼,8.0,8.0,8.0,,斤,2022-12-30
水产,鲫鱼,9.0,9.0,9.0,,斤,2022-12-30
水产,鲫鱼,10.0,10.0,10.0,,斤,2022-12-30
水产,胖头鱼,10.0,10.0,10.0,,斤,2022-12-30
水产,胖头鱼,9.0,9.0,9.0,,斤,2022-12-30
水产,武昌鱼,10.0,11.0,10.5,,斤,2022-12-30
水产,鲢鱼,4.0,5.0,4.5,,斤,2022-12-30
水产,鲢鱼,3.5,4.0,3.75,,斤,2022-12-30
水产,鲶鱼,6.5,7.0,6.75,,斤,2022-12-30
水产,松花鱼,12.0,12.0,12.0,,斤,2022-12-30
水产,黑鱼,12.0,13.0,12.5,,斤,2022-12-30
水产,黑鱼,14.0,14.0,14.0,,斤,2022-12-30
水产,黄鳝,28.0,29.0,28.5,,斤,2022-12-30
水产,黄鳝,37.0,38.0,37.5,,斤,2022-12-30
水产,罗非鱼,11.0,12.0,11.5,,斤,2022-12-30
水产,虹鳟鱼,21.0,22.0,21.5,,斤,2022-12-30
水产,鲟鱼,17.0,18.0,17.5,,斤,2022-12-30
水产,青鱼,12.0,13.0,12.5,,斤,2022-12-30
水产,桂鱼,31.0,32.0,31.5,,斤,2022-12-30
水产,嘎鱼,20.0,21.0,20.5,,斤,2022-12-30
水产,嘎鱼,17.0,18.0,17.5,,斤,2022-12-30
水产,淡水鲈鱼,15.0,16.0,15.5,,斤,2022-12-30
水产,泥鳅,11.0,18.0,14.5,,斤,2022-12-30
水产,清江鱼,12.0,13.0,12.5,,斤,2022-12-30
水产,燕鲅,18.0,22.0,20.0,,斤,2022-12-30
水产,鲐鲅,4.0,6.0,5.0,,斤,2022-12-30
水产,小黄花鱼,6.0,8.0,7.0,,斤,2022-12-30
水产,多宝鱼,25.0,26.0,25.5,,斤,2022-12-30
水产,鳕鱼,7.0,8.0,7.5,,斤,2022-12-30
水产,牛尾巴鱼,8.0,18.0,13.0,,斤,2022-12-30
水产,带鱼,7.0,8.0,7.5,网,斤,2022-12-30
水产,带鱼,12.0,13.0,12.5,网,斤,2022-12-30
水产,带鱼,15.0,16.0,15.5,网,斤,2022-12-30
水产,基围虾,220.0,230.0,225.0,,斤,2022-12-30
水产,波士顿龙虾,110.0,130.0,120.0,,斤,2022-12-30
水产,公河蟹,32.0,35.0,33.5,,斤,2022-12-30
水产,公河蟹,38.0,40.0,39.0,,斤,2022-12-30
水产,公河蟹,40.0,43.0,41.5,,斤,2022-12-30
水产,母河蟹,40.0,45.0,42.5,,斤,2022-12-30
水产,母河蟹,45.0,50.0,47.5,,斤,2022-12-30
水产,母河蟹,50.0,55.0,52.5,,斤,2022-12-30
水产,母梭子蟹,100.0,130.0,115.0,,斤,2022-12-30
水产,公梭子蟹,80.0,90.0,85.0,,斤,2022-12-30
水产,帝王蟹,200.0,240.0,220.0,,斤,2022-12-30
水产,面包蟹,100.0,120.0,110.0,,斤,2022-12-30
水产,鲍鱼,10.0,12.0,11.0,,个,2022-12-30
水产,鲍鱼,7.0,8.0,7.5,,个,2022-12-30
水产,鲍鱼,4.0,5.0,4.5,,个,2022-12-30
水产,扇贝,40.0,45.0,42.5,,斤,2022-12-30
水产,扇贝,28.0,28.0,28.0,,斤,2022-12-30
水产,扇贝,27.0,27.0,27.0,,斤,2022-12-30
水产,小红扇贝,4.0,4.0,4.0,,斤,2022-12-30
水产,钉螺,7.0,7.0,7.0,,斤,2022-12-30
水产,海螺,20.0,22.0,21.0,,斤,2022-12-30
水产,海螺,24.0,26.0,25.0,,斤,2022-12-30
水产,海螺,32.0,35.0,33.5,,斤,2022-12-30
水产,蛏子,13.0,15.0,14.0,,斤,2022-12-30
水产,海虹,6.0,7.0,6.5,,斤,2022-12-30
水产,带子,16.0,18.0,17.0,,斤,2022-12-30
水产,生蚝,11.0,11.0,11.0,,斤,2022-12-30
水产,生蚝,12.0,12.0,12.0,,斤,2022-12-30
水产,黄蚬子,30.0,32.0,31.0,,斤,2022-12-30
水产,文蛤,13.0,13.0,13.0,,斤,2022-12-30
水产,白蛤,7.0,7.0,7.0,,斤,2022-12-30
水产,青蛤,13.0,14.0,13.5,,斤,2022-12-30
水产,花蛤,5.0,6.0,5.5,,斤,2022-12-30
水产,毛钳,7.0,7.0,7.0,,斤,2022-12-30
水产,田螺,3.5,3.6,3.55,,斤,2022-12-30
水产,猫眼螺,20.0,30.0,25.0,,斤,2022-12-30
水产,甲鱼,42.0,45.0,43.5,,斤,2022-12-30
水产,甲鱼,22.0,25.0,23.5,,斤,2022-12-30
水产,蚕蛹,35.0,36.0,35.5,,斤,2022-12-30
水产,牛蛙,11.0,12.0,11.5,,斤,2022-12-30
水产,海蜇头,9.5,10.0,9.75,,斤,2022-12-30
水产,海蜇皮,11.0,12.0,11.5,,斤,2022-12-30
水产,海蜇丝,6.0,7.0,6.5,,斤,2022-12-30
豆制品,北豆腐,1.8,2.0,1.9,,斤,2022-12-30
豆制品,南豆腐,1.6,1.8,1.7,,斤,2022-12-30
豆制品,白玉北豆腐,3.8,3.8,3.8,,盒,2022-12-30
豆制品,香香北豆腐,3.0,3.0,3.0,,盒,2022-12-30
豆制品,白玉南豆腐,5.5,5.5,5.5,,盒,2022-12-30
豆制品,豆腐丝,4.2,4.4,4.3,,斤,2022-12-30
豆制品,精品豆腐丝,5.5,6.0,5.75,,袋,2022-12-30
豆制品,豆腐皮,4.5,4.5,4.5,,斤,2022-12-30
豆制品,豆腐干,3.5,3.5,3.5,,斤,2022-12-30
豆制品,精品豆腐干,4.5,5.0,4.75,,袋,2022-12-30
豆制品,豆腐泡,4.5,4.5,4.5,,斤,2022-12-30
豆制品,精品豆腐泡,4.0,4.0,4.0,,袋,2022-12-30
豆制品,白玉内酯豆腐,2.0,2.0,2.0,,盒,2022-12-30
豆制品,香香内脂豆腐,1.0,1.0,1.0,,盒,2022-12-30
豆制品,白玉豆浆,2.0,2.5,2.25,,袋,2022-12-30
